生徒分類,アプリ利用,MA利用,現在フェーズ,フェーズ到達日,次フェーズ期日,マッチング数,メッセージ人数,メッセージ頻度,NNRでのお見合い実施数,初回デート予定数,現在進行中仮交際数,初回デート実施人数,おかわりデート予定数,おかわりデート実施人数,半日デート,1日デート予定,3回目デート予定数,交際意思の言質,相手からの好意,成就デート予定,生徒からの成就報告,成就報告日
③20代女子×素直さ愛嬌,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
④c上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教）-ハイブリッド開発,現在利用なし,現在利用なし,フェーズ1：初回デート,2026/04/18,,0人,0人,週0,0人,2人,2人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
②年齢30~34歳女子×見た目スペック,現在利用なし,利用中,フェーズ2：関係構築,,,0人,0人,週0,0人,0人,0人,3人以上,2人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
④a上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教） -内面開発,利用中,利用中,フェーズ2：関係構築,,,0人,0人,週0,0人,0人,0人,2人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
④a上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教） -内面開発,現在利用なし,利用中,フェーズ1：初回デート,,,0人,0人,週0,0人,1人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
④a上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教） -内面開発,利用中,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
④a上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教） -内面開発,現在利用なし,現在利用なし,フェーズ0：マッチング,,,3人,0人,週0,1人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
④a上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教） -内面開発,現在利用なし,利用中,フェーズ0：マッチング,,,5人以上,0人,週0,5〜7人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
②年齢30~34歳女子×見た目スペック,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
④c上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教）-ハイブリッド開発,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
④a上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教） -内面開発,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
①20代女子×見た目スペック,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
③20代女子×素直さ愛嬌,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
④a上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教） -内面開発,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,TRUE,2026/02/11
③20代女子×素直さ愛嬌,現在利用なし,現在利用なし,フェーズ5：成就間際,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,あり,FALSE,
,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,TRUE,2026/01/01
④c上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教）-ハイブリッド開発,利用中,利用中,フェーズ2：関係構築,2026/04/01,2026/05/31,0人,0人,週0,0人,0人,0人,3人以上,1人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
④c上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教）-ハイブリッド開発,現在利用なし,利用中,フェーズ1：初回デート,2026/03/28,,0人,0人,週0,0人,1人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,TRUE,2026/03/01
②年齢30~34歳女子×見た目スペック,現在利用なし,現在利用なし,フェーズ3：関係深化,2026/04/30,2026/05/31,0人,0人,週0,0人,0人,0人,3人以上,2人,2人,半日デート済,,2人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,TRUE,2026/05/12
④a上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教） -内面開発,利用中,現在利用なし,フェーズ0：マッチング,2026/05/15,2026/05/31,0人,0人,週0,0人,0人,0人,0人,0人,1人,半日デート済,あり,1人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
④c上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教）-ハイブリッド開発,現在利用なし,現在利用なし,フェーズ2：関係構築,2026/05/15,2026/05/31,3人,1人,週3往復以上,0人,1人,0人,1人,1人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
②年齢30~34歳女子×見た目スペック,現在利用なし,利用中,フェーズ3：関係深化,2026/05/15,2026/06/30,0人,0人,週0,0人,0人,0人,1人,1人,2人,半日デート済,なし,1人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
④a上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教） -内面開発,現在利用なし,利用中,フェーズ0：マッチング,2026/05/19,2026/05/31,1人,0人,週0,1人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
④a上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教） -内面開発,利用中,利用中,フェーズ3：関係深化,2026/04/18,,0人,0人,週0,0人,0人,0人,0人,0人,1人,未実施,なし,1人,交際したいかまだ迷いがある,相手からおかわりデートの誘いがあった,なし,TRUE,2026/05/06
④a上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教） -内面開発,利用中,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,TRUE,2026/03/29
③20代女子×素直さ愛嬌,利用中,利用中,フェーズ5：成就間際,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,あり,TRUE,2026/04/16
③20代女子×素直さ愛嬌,利用中,利用中,フェーズ0：マッチング,2027/04/19,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
③20代女子×素直さ愛嬌,利用中,利用中,フェーズ0：マッチング,2026/12/08,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
③20代女子×素直さ愛嬌,利用中,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
③20代女子×素直さ愛嬌,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
④c上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教）-ハイブリッド開発,利用中,現在利用なし,フェーズ0：マッチング,,2026/04/26,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
④c上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教）-ハイブリッド開発,利用中,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
④a上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教） -内面開発,利用中,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
①20代女子×見た目スペック,現在利用なし,現在利用なし,フェーズ2：関係構築,2026/04/12,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
②年齢30~34歳女子×見た目スペック,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
,現在利用なし,現在利用なし,フェーズ1：初回デート,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
④a上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教） -内面開発,現在利用なし,利用中,フェーズ0：マッチング,,,0人,0人,週0,3〜5人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
②年齢30~34歳女子×見た目スペック,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,TRUE,2026/04/04
②年齢30~34歳女子×見た目スペック,現在利用なし,現在利用なし,未設定,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,TRUE,2026/03/01
④b上記該当しない女子 （35歳以上、体重60キロ以上、既往歴、持病あり、喫煙する、宗教）-外見開発,利用中,現在利用なし,フェーズ1：初回デート,,,3人,2人,週1〜2往復,0人,1人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
②年齢30~34歳女子×見た目スペック,現在利用なし,現在利用なし,フェーズ2：関係構築,,,0人,0人,週0,0人,2人,2人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
②年齢30~34歳女子×見た目スペック,現在利用なし,現在利用なし,フェーズ1：初回デート,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
②年齢30~34歳女子×見た目スペック,現在利用なし,利用中,フェーズ4：意思決定,,,0人,0人,週0,0人,2人,2人,0人,0人,0人,未実施,なし,0人,生徒が付き合いたいと言った,相手からおかわりデートの誘いがあった,なし,FALSE,
①20代女子×見た目スペック,現在利用なし,現在利用なし,フェーズ2：関係構築,,,0人,0人,週0,0人,0人,0人,2人,2人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
①20代女子×見た目スペック,現在利用なし,現在利用なし,フェーズ0：マッチング,,,0人,0人,週0,0人,0人,0人,0人,0人,0人,未実施,なし,0人,交際したいかまだ迷いがある,おかわりデートの誘いはない,なし,FALSE,
